,playerID,managerID,hofID,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameNote,nameGiven,nameNick,weight,height,bats,throws,debut,finalGame,college
1,aaronha01,,aaronha01h,1934,2,5,USA,AL,Mobile,,,,,,,Hank,Aaron,,Henry Louis,HammerHammerin' HankBad Henry,180,72,R,R,4/13/1954,10/3/1976,
2,aaronto01,,,1939,8,5,USA,AL,Mobile,1984,8,16,USA,GA,Atlanta,Tommie,Aaron,,Tommie Lee,,190,75,R,R,4/10/1962,9/26/1971,
3,aasedo01,,,1954,9,8,USA,CA,Orange,,,,,,,Don,Aase,,Donald William,,190,75,R,R,7/26/1977,10/3/1990,Cal St. Fullerton
4,abadan01,,,1972,8,25,USA,FL,West Palm Beach,,,,,,,Andy,Abad,,,,184,73,L,L,9/10/2001,4/13/2006,Middle Georgia JC
5,abadijo01,,,1854,11,4,USA,PA,Philadelphia,1905,5,17,USA,NJ,Pemberton,John,Abadie,,John,,192,72,R,R,4/26/1875,6/10/1875,
6,abbated01,,,1877,4,15,USA,PA,Latrobe,1957,1,6,USA,FL,Ft.Lauderdale,Ed,Abbaticchio,,Edward James,Batty,170,71,R,R,9/4/1897,9/15/1910,
7,abbeybe01,,,1869,11,29,USA,VT,Essex,1962,6,11,USA,VT,Essex Junction,Bert,Abbey,,Bert Wood,,175,71,R,R,6/14/1892,9/23/1896,
8,abbeych01,,,1866,10,14,USA,NE,Falls City,1926,4,27,USA,CA,San Francisco,Charlie,Abbey,,Charles S.,,169,68,L,,8/16/1893,8/19/1897,
9,abbotda01,,,1862,3,16,USA,OH,Portage,1930,2,13,USA,MI,Ottawa Lake,Dan,Abbott,,Leander Franklin,Big Dan,190,71,R,R,4/19/1890,5/23/1890,
10,abbotfr01,,,1874,10,22,USA,OH,Versailles,1935,6,11,USA,CA,Los Angeles,Fred,Abbott,born Harry Frederick Winbigler,Harry Frederick,,180,70,R,R,4/25/1903,9/20/1905,
11,abbotgl01,,,1951,2,16,USA,AR,Little Rock,,,,,,,Glenn,Abbott,,William Glenn,,200,78,R,R,7/29/1973,8/8/1984,Arkansas State
12,abbotje01,,,1972,8,17,USA,GA,Atlanta,,,,,,,Jeff,Abbott,,Jeffrey William,,190,74,R,L,6/10/1997,9/29/2001,Kentucky
13,abbotji01,,abbotji01h,1967,9,19,USA,MI,Flint,,,,,,,Jim,Abbott,,James Anthony,,200,75,L,L,4/8/1989,7/21/1999,Michigan
14,abbotku01,,,1969,6,2,USA,OH,Zanesville,,,,,,,Kurt,Abbott,,Kurt Thomas,,180,71,R,R,9/8/1993,4/13/2001,
15,abbotky01,,,1968,2,18,USA,MA,Newburyport,,,,,,,Kyle,Abbott,,Lawrence Kyle,,200,76,L,L,9/10/1991,8/24/1996,Cal St. Long Beach
16,abbotod01,,,1888,9,5,USA,PA,New Eagle,1933,4,13,USA,DC,Washington,Ody,Abbott,,Ody Cleon,,180,74,R,R,9/10/1910,10/15/1910,
17,abbotpa01,,,1967,9,15,USA,CA,Van Nuys,,,,,,,Paul,Abbott,,Paul David,,185,75,R,R,8/21/1990,8/7/2004,
18,aberal01,,,1927,7,31,USA,OH,Cleveland,1993,5,20,USA,OH,Garfield Heights,Al,Aber,,Albert Julius,Lefty,195,74,L,L,9/15/1950,9/11/1957,
19,abercda01,,,1851,1,2,USA,MD,Fort Towson,1939,11,11,USA,PA,Philadelphia,Francis,Abercrombie,Formerly thought to be Dave Abercrombie,Francis Patterson,,,,,,10/21/1871,10/21/1871,
20,abernbi01,,,1929,1,30,USA,CA,Torrance,2006,2,19,USA,CA,Yucaipa,Bill,Abernathie,,William Edward,,190,70,R,R,9/27/1952,9/27/1952,
21,abernbr01,,,1977,9,23,USA,GA,Atlanta,,,,,,,Brent,Abernathy,,,,185,73,R,R,6/25/2001,9/29/2005,
22,abernte01,,,1921,10,30,USA,NC,Mebane,2001,11,16,USA,NC,Charlotte,Tal,Abernathy,also called Ted,Talmadge Lafayette,,210,74,R,L,9/19/1942,4/29/1944,
23,abernte02,,,1933,3,6,USA,NC,Stanley,2004,12,16,USA,NC,Gastonia,Ted,Abernathy,,Theodore Wade,,215,76,R,R,4/13/1955,9/30/1972,
24,abernwo01,,,1915,2,1,USA,NC,Forest City,1994,12,5,USA,KY,Louisville,Woody,Abernathy,,Virgil Woodrow,,170,72,L,L,7/28/1946,4/17/1947,
25,aberscl01,,,1921,8,28,USA,IL,Chicago,1973,6,23,USA,CA,Vallejo,Cliff,Aberson,,Clifford Alexander,Kif,200,72,R,R,7/18/1947,5/9/1949,
26,ablesha01,,,1883,10,4,USA,TX,Terrell,1951,2,8,USA,TX,San Antonio,Harry,Ables,,Harry Terrell,Hans,200,74,R,L,9/4/1905,5/5/1911,
27,abnersh01,,,1966,6,17,USA,OH,Hamilton,,,,,,,Shawn,Abner,,Shawn Wesley,,190,73,R,R,9/8/1987,10/3/1992,
28,abramca01,,,1924,3,2,USA,PA,Philadelphia,1997,2,25,USA,FL,Ft.Lauderdale,Cal,Abrams,,Calvin Ross,Abie,185,72,L,L,4/20/1949,5/9/1956,
29,abramge01,,,1899,11,9,USA,WA,Seattle,1986,12,5,USA,FL,Clearwater,George,Abrams,,George Allen,,170,69,R,R,4/19/1923,5/4/1923,
30,abregjo01,,,1962,7,4,USA,TX,Corpus Christi,,,,,,,Johnny,Abrego,,Johnny Ray,,185,72,R,R,9/4/1985,10/3/1985,
31,abreubo01,,,1974,3,11,Venezuela,,Maracay,,,,,,,Bobby,Abreu,,Bob Kelly,,210,72,L,R,9/1/1996,,
32,abreujo01,,,1913,5,24,USA,CA,Oakland,1993,3,17,USA,CA,Hayward,Joe,Abreu,,Joseph Lawrence,,160,68,R,R,4/23/1942,7/11/1942,
33,abstebi01,,,1883,2,2,USA,MO,St. Louis,1940,4,8,USA,MO,St.Louis,Bill,Abstein,,William Henry,Big Bill,185,72,R,R,9/25/1906,6/2/1910,
34,acevejo01,,,1977,12,18,D.R.,,Santo Domingo,,,,,,,Jose,Acevedo,,,,185,72,R,R,6/19/2001,9/29/2005,
35,aceveju01,,,1970,5,5,Mexico,6,Ciudad Juarez,,,,,,,Juan,Acevedo,,Juan Carlos,,195,74,R,R,4/30/1995,8/5/2003,Parkland JC
36,ackerji01,,,1958,9,24,USA,TX,Freer,,,,,,,Jim,Acker,,James Justin,,210,74,R,R,4/7/1983,6/14/1992,Texas
37,ackerto01,,,1930,3,7,USA,NJ,Paterson,,,,,,,Tom,Acker,,Thomas James,,215,76,R,R,4/20/1956,9/20/1959,texas
38,acklefr01,,,1937,4,10,USA,WI,Hayward,2002,5,22,USA,MN,Duluth,Fritz,Ackley,,Florian Frederick,,202,73,L,R,9/21/1963,5/9/1964,
39,acostcy01,,,1946,11,22,Mexico,25,El Sabino,,,,,,,Cy,Acosta,,Cecilio (Miranda),,165,70,R,R,6/4/1972,5/5/1975,
40,acosted01,,,1944,3,9,Panama,,Boquete,,,,,,,Ed,Acosta,,Eduardo Elixbet,,215,77,B,R,9/7/1970,10/4/1972,
41,acostjo01,,,1891,3,4,Cuba,,Havana,1977,11,16,Cuba,,Havana,Jose,Acosta,,Jose,Acostica,134,66,R,R,7/28/1920,5/12/1922,
42,acostme01,,,1896,5,19,Cuba,,Bauta,1963,11,17,USA,FL,Miami,Merito,Acosta,,Baldomero Pedro (Fernandez),,140,67,L,L,6/15/1913,9/2/1918,
43,acrema01,,,1968,9,16,USA,CA,Concord,,,,,,,Mark,Acre,,Mark Robert,,235,80,R,R,5/13/1994,5/10/1997,New Mexico State
44,,adairbi99m,,1913,2,10,,,,2002,6,17,USA,AL,Bay Minette,Bill,Adair,,Marion Danne,,168,72,,,,,
45,adairje01,,,1936,12,17,USA,OK,Sand Springs,1987,5,31,USA,OK,Tulsa,Jerry,Adair,,Kenneth Jerry,Casper the Friendly Ghost,175,72,R,R,9/2/1958,5/3/1970,
46,adairji01,,,1907,1,25,USA,TX,Waxahachie,1982,12,9,USA,TX,Dallas,Jimmy,Adair,,James Aubrey,Choppy,154,70,R,R,8/24/1931,9/7/1931,
47,adamsac01,,,1910,3,2,USA,CA,Willows,2006,2,26,USA,GA,Albany,Ace,Adams,,Ace Townsend,,182,70,R,R,4/15/1941,4/24/1946,
48,adamsba01,,adamsba01h,1882,5,18,USA,IN,Tipton,1968,7,27,USA,MD,Silver Spring,Babe,Adams,,Charles Benjamin,,185,71,L,R,4/18/1906,8/11/1926,
49,adamsbe01,,,1891,6,21,USA,TX,Wharton,1940,6,24,USA,CA,Los Angeles,Bert,Adams,,John Bertram,,185,73,B,R,8/30/1910,9/28/1919,
50,adamsbo01,,,1901,7,24,USA,MA,Holyoke,1996,10,17,USA,PA,Lemoyne,Bob,Adams,,Robert Burdette,,168,71,R,R,9/22/1925,9/23/1925,
51,adamsbo02,,,1907,1,20,USA,AL,Birmingham,1970,3,6,USA,FL,Jacksonville,Bob,Adams,,Robert Andrew,,165,72,R,R,9/27/1931,9/17/1932,
52,adamsbo04,,,1952,1,6,USA,PA,Pittsburgh,,,,,,,Bob,Adams,,Robert Melvin,,200,74,R,R,7/10/1977,9/29/1977,UCLA
53,adamsbo03,,adamsbo03h,1921,12,14,USA,CA,Tuolumne,1997,2,13,USA,WA,Gig Harbor,Bobby,Adams,,Robert Henry,,160,70,R,R,4/16/1946,4/22/1959,
54,adamsbu01,,,1915,6,24,USA,CO,Trinidad,1990,9,1,USA,CA,Rancho Mirage,Buster,Adams,,Elvin Clark,,180,72,R,R,4/27/1939,9/21/1947,
55,adamsda01,,,1887,6,19,USA,MO,St. Louis,1964,10,6,USA,MO,St.Louis,Dan,Adams,,Daniel Leslie,Rube,165,71,R,R,5/22/1914,9/26/1915,
56,adamsdi01,,,1920,4,8,USA,CA,Tuolumne,,,,,,,Dick,Adams,,Richard Leroy,,185,72,R,L,5/20/1947,9/28/1947,
57,adamsdo01,,,1943,1,27,USA,WI,Blue River,,,,,,,Doug,Adams,,Harold Douglas,,185,75,L,R,9/8/1969,10/1/1969,
58,adamsge01,,,,,,,,,,,,,,,George,Adams,,George,,175,66,R,R,6/14/1879,,
59,adamsgl01,,,1947,10,4,USA,MA,Northbridge,,,,,,,Glenn,Adams,,Glenn Charles,,180,73,L,R,5/4/1975,10/3/1982,Springfield
60,adamshe01,,,1928,4,14,USA,CA,Hollywood,,,,,,,Herb,Adams,,Herbert Loren,,160,69,L,L,9/17/1948,8/30/1950,
61,adamsji01,,,1868,,,USA,IL,East St. Louis,,,,,,,Jim,Adams,,James J.,,,,,R,4/21/1890,4/21/1890,
62,adamsjo01,,,1877,10,28,USA,IL,Cowden,1952,10,8,USA,MO,Bachelor,Joe,Adams,,Joseph Edward,Wagon Tongue,190,72,R,L,4/26/1902,4/26/1902,
63,adamska01,,,1891,8,11,USA,GA,Columbus,1967,9,17,USA,WA,Everett,Karl,Adams,,Karl Tutwiler,Rebel,170,74,R,R,4/19/1914,9/23/1915,
64,adamsmi02,,,1948,7,24,USA,OH,Cincinnati,,,,,,,Mike,Adams,,Robert Michael,,180,69,R,R,9/10/1972,7/25/1978,
65,adamsre01,,,1921,10,7,USA,CA,Parlier,,,,,,,Red,Adams,,Charles Dwight,,185,72,R,R,5/5/1946,7/2/1946,
66,adamsri01,,,1878,12,23,USA,TX,Paris,1955,3,10,USA,TX,Paris,Rick,Adams,,Reuben Alexander,,165,72,L,L,7/13/1905,9/29/1905,
67,adamsri02,,,1959,1,21,USA,CA,Upland,,,,,,,Ricky,Adams,,Ricky Lee,,180,74,R,R,9/15/1982,10/5/1985,UCLA
68,adamssp01,,adamssp01h,1894,8,26,USA,PA,Zerbe,1989,2,24,USA,PA,Pottsville,Sparky,Adams,,Earl John,,151,65,R,R,9/18/1922,9/30/1934,
69,adamssp02,,,1898,6,21,USA,UT,Layton,1970,11,24,USA,UT,Salt Lake City,Spencer,Adams,,Spencer Dewey,,158,69,L,R,5/8/1923,10/2/1927,
70,adamste01,,,1973,3,6,USA,AL,Mobile,,,,,,,Terry,Adams,,Terry Wayne,,180,75,R,R,8/10/1995,5/23/2005,
71,adamswi01,,,1890,9,27,USA,PA,Clearfield,1937,6,18,USA,NY,Albany,Willie,Adams,,James Irvin,,180,76,R,R,6/30/1912,9/6/1919,
72,adamswi02,,,1972,10,8,USA,NM,Gallup,,,,,,,Willie,Adams,,William Edward,,215,79,R,R,6/11/1996,8/14/1997,Stanford
73,adamsjo02,,,1971,7,2,USA,CA,Lakewood,,,,,,,Joel,Adamson,,Joel Lee,,185,76,L,L,4/10/1996,4/26/1998,Cerritos JC
74,adamsmi01,,,1947,9,13,USA,CA,San Diego,,,,,,,Mike,Adamson,,John Michael,,185,74,R,R,7/1/1967,5/7/1969,
75,adcocjo01,adcocjo01m,,1927,10,30,USA,LA,Coushatta,1999,5,3,USA,LA,Coushatta,Joe,Adcock,,Joseph Wilbur,,210,76,R,R,4/23/1950,10/1/1966,
76,addisbo01,,,1925,11,6,USA,OH,Mineral,,,,,,,Bob,Addis,,Robert Gordon,,175,72,L,R,9/1/1950,6/12/1953,
77,adducji01,,,1959,8,9,USA,IL,Chicago,,,,,,,Jim,Adduci,,James David,,200,77,L,L,9/12/1983,7/26/1989,Southern Illinois
78,addybo01,addybo01m,,1845,2,,USA,NY,Rochester,1910,4,9,USA,ID,Pocatello,Bob,Addy,,Robert Edward,Magnet,160,68,L,L,5/6/1871,,
79,aderhmo01,,,1915,9,13,USA,NC,Mount Olive,1955,3,18,USA,FL,Sarasota,Morrie,Aderholt,,Morris Woodroe,,188,73,L,R,9/13/1939,9/30/1945,
80,adkinde01,,,1918,5,11,USA,KS,Norcatur,1998,12,26,USA,CA,Santa Monica,Dewey,Adkins,,John Dewey,,195,74,R,R,9/19/1942,10/2/1949,
81,adkindi01,,,1920,3,3,USA,TX,Electra,1955,9,12,USA,TX,Electra,Dick,Adkins,,Richard Earl,,165,70,R,R,9/19/1942,9/20/1942,
82,adkindo01,,,1872,8,5,USA,WI,Troy,1934,2,21,USA,NC,Durham,Doc,Adkins,,Merle Theron,,220,70,R,R,6/24/1902,9/29/1903,
83,adkingr01,,,1897,6,29,USA,AR,Jacksonville,1966,3,31,USA,AR,Little Rock,Grady,Adkins,,Grady Emmett,Butcher Boy,175,71,R,R,4/13/1928,10/5/1929,
84,adkinst01,,,1964,10,26,USA,IL,Chicago,,,,,,,Steve,Adkins,,Steven Thomas,,210,78,R,L,9/12/1990,10/3/1990,Pennsylvania
85,adkinhe01,,,1874,9,1,USA,IL,Chicago,1923,5,1,USA,UT,Salt Lake City,Henry,Adkinson,,Henry Magee,,,,,,9/25/1895,9/25/1895,
86,adlesda01,,,1943,7,15,USA,CA,Long Beach,,,,,,,Dave,Adlesh,,David George,,187,72,R,R,5/12/1963,9/28/1968,
87,afenitr01,,,1963,9,21,USA,CA,Escondido,,,,,,,Troy,Afenir,,Michael Troy,,185,76,R,R,9/14/1987,7/10/1992,Palomar
88,agbaybe01,,,1971,12,28,USA,HI,Honolulu,,,,,,,Benny,Agbayani,,Benny Peter (Jr.),,225,72,R,R,6/17/1998,9/29/2002,
89,ageeto01,,ageeto01h,1942,8,9,USA,AL,Magnolia,2001,1,22,USA,NY,New York,Tommie,Agee,,Tommie Lee,,195,71,R,R,9/14/1962,9/30/1973,
90,agganha01,,,1929,4,20,USA,MA,Lynn,1955,6,27,USA,MA,Cambridge,Harry,Agganis,,Aristotle George,The Golden Greek,200,74,L,L,4/13/1954,6/2/1955,
91,aglerjo01,,,1887,6,12,USA,OH,Coshocton,1971,4,26,USA,OH,Massillon,Joe,Agler,,Joseph Abram,,165,71,L,L,10/1/1912,9/30/1915,
92,agnewsa01,,,1887,4,12,USA,MO,Farmington,1951,7,19,USA,CA,Sonoma,Sam,Agnew,,Samuel Lester,Slam,185,71,R,R,4/10/1913,9/28/1919,
93,agostju01,,,1958,2,23,P.R.,,Rio Piedras,,,,,,,Juan,Agosto,,Juan Roberto (Gonzalez),,190,74,L,L,9/7/1981,6/19/1993,
94,aguaylu01,,,1959,3,13,P.R.,,Vega Baja,,,,,,,Luis,Aguayo,,Luis (Muriel),,173,69,R,R,4/19/1980,9/30/1989,
95,aguilri01,,aguilri01h,1961,12,31,USA,CA,San Gabriel,,,,,,,Rick,Aguilera,,Richard Warren,,195,76,R,R,6/12/1985,,Brigham Young
96,aguirha01,,,1931,1,31,USA,CA,Azusa,1994,9,5,USA,MI,Bloomfield Hills,Hank,Aguirre,,Henry John,,205,76,R,L,9/10/1955,6/24/1970,
97,ahearch01,,,,,,,,,,,,,,,Charlie,Ahearn,,Charles,,,,,,6/19/1880,6/19/1880,
98,ahearpa01,,,1969,12,10,USA,CA,San Francisco,,,,,,,Pat,Ahearne,,Patrick Howard,,195,75,R,R,6/14/1995,6/30/1995,Pepperdine
99,aikenwi01,,,1954,10,14,USA,SC,Seneca,,,,,,,Willie,Aikens,,Willie Mays,,220,75,L,R,5/17/1977,4/27/1985,South Carolina
100,aingeda01,,,1959,3,17,USA,OR,Eugene,,,,,,,Danny,Ainge,,Daniel Ray,,175,76,R,R,5/21/1979,9/22/1981,Brigham Young
101,ainsmed01,,,1890,2,4,Russia,,,1981,9,6,USA,FL,Ft.Lauderdale,Eddie,Ainsmith,born Edward Anshmedt,Edward Wilbur,Dorf,180,71,R,R,8/9/1910,7/21/1924,
102,ainswku01,,,1978,9,9,USA,LA,Baton Rouge,,,,,,,Kurt,Ainsworth,,,,192,75,R,R,9/5/2001,5/14/2004,Louisiana State
103,aitchra01,,,1887,12,5,USA,SD,Tyndall,1958,9,26,USA,KS,Columbus,Raleigh,Aitchison,,Raleigh Leonidas,,175,71,R,L,4/19/1911,6/20/1915,
104,aitonge01,,,1890,12,29,USA,KS,Kingman,1976,8,16,USA,CA,North Hollywood,George,Aiton,,George Wilson,,175,71,B,R,6/29/1912,7/28/1912,
105,akejo01,,,1861,8,29,USA,PA,Altoona,1887,5,11,USA,WI,LaCrosse,John,Ake,,John Leckie,,180,73,R,R,5/12/1884,7/14/1884,
106,akerja01,,akerja01h,1940,7,13,USA,CA,Tulare,,,,,,,Jack,Aker,,Jackie Delane,,190,74,R,R,5/3/1964,9/27/1974,
107,akerfda01,,,1962,6,12,USA,CO,Denver,,,,,,,Darrel,Akerfelds,,Darrel Wayne,,210,74,R,R,8/1/1986,7/2/1991,Arkansas
108,akersbi01,,,1904,12,25,USA,TN,Chattanooga,1962,4,13,USA,TN,Chattanooga,Bill,Akers,,William G.,Bump,178,71,R,R,9/8/1929,7/27/1932,
109,akersje01,,,1887,11,1,USA,IN,Shelbyville,1979,5,15,USA,FL,Bay Pines,Jerry,Akers,,Albert Earl,,175,71,R,R,5/4/1912,5/25/1912,
